algorithm,scenario,service,users,column,start_time,end_time,avg_cpu_usage,avg_memory_usage,execution_time
knn,scenario_A,ts-order-service,100,ts-contacts-service_energy,2024-08-28 15:15:58.565476,2024-08-28 15:15:59.709560,0.0,727.23828125,0 days 00:00:01.144084
lof,scenario_A,ts-order-service,100,ts-contacts-service_energy,2024-08-28 15:16:00.164034,2024-08-28 15:16:01.231576,0.0,727.44140625,0 days 00:00:01.067542
svm,scenario_A,ts-order-service,100,ts-contacts-service_energy,2024-08-28 15:16:01.732046,2024-08-28 15:16:03.099788,0.0,727.1875,0 days 00:00:01.367742
BIRCH,scenario_A,ts-order-service,100,ts-execute-service_energy,2024-08-28 15:16:03.099788,2024-08-28 15:16:04.147649,0.0,727.26171875,0 days 00:00:01.047861
iforest,scenario_A,ts-order-service,100,ts-execute-service_energy,2024-08-28 15:16:04.646855,2024-08-28 15:16:05.746565,0.0,729.01953125,0 days 00:00:01.099710
knn,scenario_A,ts-order-service,100,ts-execute-service_energy,2024-08-28 15:16:06.367813,2024-08-28 15:16:07.648690,0.0,728.06640625,0 days 00:00:01.280877
lof,scenario_A,ts-order-service,100,ts-execute-service_energy,2024-08-28 15:16:08.194378,2024-08-28 15:16:09.321752,0.0,728.21875,0 days 00:00:01.127374
svm,scenario_A,ts-order-service,100,ts-execute-service_energy,2024-08-28 15:16:09.996291,2024-08-28 15:16:11.341281,0.0,727.94921875,0 days 00:00:01.344990
BIRCH,scenario_A,ts-order-service,100,ts-food-map-mongo_energy,2024-08-28 15:16:11.341281,2024-08-28 15:16:12.381987,0.0,727.94921875,0 days 00:00:01.040706
iforest,scenario_A,ts-order-service,100,ts-food-map-mongo_energy,2024-08-28 15:16:12.910658,2024-08-28 15:16:14.011345,0.0,730.0625,0 days 00:00:01.100687
knn,scenario_A,ts-order-service,100,ts-food-map-mongo_energy,2024-08-28 15:16:14.434210,2024-08-28 15:16:15.594379,0.0,728.5703125,0 days 00:00:01.160169
lof,scenario_A,ts-order-service,100,ts-food-map-mongo_energy,2024-08-28 15:16:16.049765,2024-08-28 15:16:17.135179,0.0,728.72265625,0 days 00:00:01.085414
svm,scenario_A,ts-order-service,100,ts-food-map-mongo_energy,2024-08-28 15:16:17.534354,2024-08-28 15:16:18.901315,0.0,728.48828125,0 days 00:00:01.366961
BIRCH,scenario_A,ts-order-service,100,ts-food-map-service_energy,2024-08-28 15:16:18.901315,2024-08-28 15:16:19.942789,0.0,728.4921875,0 days 00:00:01.041474
iforest,scenario_A,ts-order-service,100,ts-food-map-service_energy,2024-08-28 15:16:20.619163,2024-08-28 15:16:21.728872,0.0,729.90625,0 days 00:00:01.109709
knn,scenario_A,ts-order-service,100,ts-food-map-service_energy,2024-08-28 15:16:22.153742,2024-08-28 15:16:23.329624,0.0,728.75390625,0 days 00:00:01.175882
lof,scenario_A,ts-order-service,100,ts-food-map-service_energy,2024-08-28 15:16:23.805231,2024-08-28 15:16:24.915795,0.0,728.91015625,0 days 00:00:01.110564
svm,scenario_A,ts-order-service,100,ts-food-map-service_energy,2024-08-28 15:16:25.411143,2024-08-28 15:16:26.731863,0.0,728.51171875,0 days 00:00:01.320720
BIRCH,scenario_A,ts-order-service,100,ts-food-mongo_energy,2024-08-28 15:16:26.731863,2024-08-28 15:16:27.760479,0.0,728.51171875,0 days 00:00:01.028616
iforest,scenario_A,ts-order-service,100,ts-food-mongo_energy,2024-08-28 15:16:28.242944,2024-08-28 15:16:29.339369,0.0,730.140625,0 days 00:00:01.096425
knn,scenario_A,ts-order-service,100,ts-food-mongo_energy,2024-08-28 15:16:29.792727,2024-08-28 15:16:30.959236,0.0,728.76953125,0 days 00:00:01.166509
lof,scenario_A,ts-order-service,100,ts-food-mongo_energy,2024-08-28 15:16:31.440899,2024-08-28 15:16:32.745495,0.0,728.921875,0 days 00:00:01.304596
svm,scenario_A,ts-order-service,100,ts-food-mongo_energy,2024-08-28 15:16:33.206828,2024-08-28 15:16:34.571025,0.0,728.5234375,0 days 00:00:01.364197
BIRCH,scenario_A,ts-order-service,100,ts-food-service_energy,2024-08-28 15:16:34.587980,2024-08-28 15:16:35.621081,0.0,728.5234375,0 days 00:00:01.033101
iforest,scenario_A,ts-order-service,100,ts-food-service_energy,2024-08-28 15:16:36.102011,2024-08-28 15:16:37.202896,0.0,730.1484375,0 days 00:00:01.100885
knn,scenario_A,ts-order-service,100,ts-food-service_energy,2024-08-28 15:16:37.716971,2024-08-28 15:16:38.876926,0.0,729.02734375,0 days 00:00:01.159955
lof,scenario_A,ts-order-service,100,ts-food-service_energy,2024-08-28 15:16:39.348235,2024-08-28 15:16:40.449772,0.0,729.3046875,0 days 00:00:01.101537
svm,scenario_A,ts-order-service,100,ts-food-service_energy,2024-08-28 15:16:40.847420,2024-08-28 15:16:42.213369,0.0,728.90625,0 days 00:00:01.365949
BIRCH,scenario_A,ts-order-service,100,ts-inside-payment-mongo_energy,2024-08-28 15:16:42.213369,2024-08-28 15:16:43.244118,0.0,728.90625,0 days 00:00:01.030749
iforest,scenario_A,ts-order-service,100,ts-inside-payment-mongo_energy,2024-08-28 15:16:43.744066,2024-08-28 15:16:44.838270,0.0,730.6328125,0 days 00:00:01.094204
knn,scenario_A,ts-order-service,100,ts-inside-payment-mongo_energy,2024-08-28 15:16:45.542858,2024-08-28 15:16:46.726419,0.0,729.1328125,0 days 00:00:01.183561
lof,scenario_A,ts-order-service,100,ts-inside-payment-mongo_energy,2024-08-28 15:16:47.140716,2024-08-28 15:16:48.236511,0.0,729.41015625,0 days 00:00:01.095795
svm,scenario_A,ts-order-service,100,ts-inside-payment-mongo_energy,2024-08-28 15:16:48.656551,2024-08-28 15:16:49.965177,0.0,729.0078125,0 days 00:00:01.308626
BIRCH,scenario_A,ts-order-service,100,ts-inside-payment-service_energy,2024-08-28 15:16:49.988078,2024-08-28 15:16:51.020357,0.0,729.0078125,0 days 00:00:01.032279
iforest,scenario_A,ts-order-service,100,ts-inside-payment-service_energy,2024-08-28 15:16:51.519916,2024-08-28 15:16:52.623391,0.0,730.30859375,0 days 00:00:01.103475
knn,scenario_A,ts-order-service,100,ts-inside-payment-service_energy,2024-08-28 15:16:53.052334,2024-08-28 15:16:54.200727,0.0,729.05859375,0 days 00:00:01.148393
lof,scenario_A,ts-order-service,100,ts-inside-payment-service_energy,2024-08-28 15:16:54.733495,2024-08-28 15:16:55.803390,0.0,729.4609375,0 days 00:00:01.069895
svm,scenario_A,ts-order-service,100,ts-inside-payment-service_energy,2024-08-28 15:16:56.432075,2024-08-28 15:16:57.751285,0.0,729.0625,0 days 00:00:01.319210
BIRCH,scenario_A,ts-order-service,100,ts-news-mongo_energy,2024-08-28 15:16:57.766952,2024-08-28 15:16:58.797117,0.0,729.13671875,0 days 00:00:01.030165
iforest,scenario_A,ts-order-service,100,ts-news-mongo_energy,2024-08-28 15:16:59.356548,2024-08-28 15:17:00.445728,0.0,730.93359375,0 days 00:00:01.089180
knn,scenario_A,ts-order-service,100,ts-news-mongo_energy,2024-08-28 15:17:01.165017,2024-08-28 15:17:02.330138,0.0,729.93359375,0 days 00:00:01.165121
lof,scenario_A,ts-order-service,100,ts-news-mongo_energy,2024-08-28 15:17:02.742829,2024-08-28 15:17:03.841218,0.0,730.08984375,0 days 00:00:01.098389
svm,scenario_A,ts-order-service,100,ts-news-mongo_energy,2024-08-28 15:17:04.256577,2024-08-28 15:17:05.623355,0.0,729.6953125,0 days 00:00:01.366778
BIRCH,scenario_A,ts-order-service,100,ts-news-service_energy,2024-08-28 15:17:05.626410,2024-08-28 15:17:06.656673,1.6,729.6953125,0 days 00:00:01.030263
iforest,scenario_A,ts-order-service,100,ts-news-service_energy,2024-08-28 15:17:07.105476,2024-08-28 15:17:08.187745,0.0,729.54296875,0 days 00:00:01.082269
knn,scenario_A,ts-order-service,100,ts-news-service_energy,2024-08-28 15:17:08.557433,2024-08-28 15:17:09.739552,0.0,729.54296875,0 days 00:00:01.182119
lof,scenario_A,ts-order-service,100,ts-news-service_energy,2024-08-28 15:17:10.352380,2024-08-28 15:17:11.493194,0.0,729.9453125,0 days 00:00:01.140814
svm,scenario_A,ts-order-service,100,ts-news-service_energy,2024-08-28 15:17:11.934469,2024-08-28 15:17:13.270242,0.0,729.55078125,0 days 00:00:01.335773
