Algorithm,Level,Scenario,Service,Users,Metric,Value
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.2
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.101
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.286
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.25
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.5
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.556
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.115
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.261
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.333
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.769
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.5
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.211
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.571
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.062
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.417
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.471
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.333
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.75
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.75
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.765
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.733
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.889
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.571
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.909
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.857
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.765
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.75
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.875
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.667
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.8
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.667
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.75
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.889
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.75
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.667
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.667
BIRCH,low,scenario_A,ts-order-service,100,Precision,1.0
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.857
BIRCH,low,scenario_A,ts-order-service,100,Precision,0.6
